Timestamp,ScannedNodes,DriftStatus,OverallRisk,DriftedParameters,RequiresServiceNowCR
2026-08-07 18:33:16,"appa_primary, appa_standby",NO_DRIFT,None,None,NO
2026-08-07 18:54:15,"appa_primary, appa_standby",NO_DRIFT,None,None,NO
2026-08-07 19:32:13,"appa_primary, appa_standby",DRIFT,Medium,db_cfg.logprimary,YES
2026-08-07 19:35:47,"appa_primary, appa_standby",NO_DRIFT,None,None,NO
2026-08-08 04:10:52,"appa_primary, appa_standby",NO_DRIFT,None,None,NO
2026-08-08 07:23:04,"appa_primary, appa_standby",HADR health query failed on both nodes due to missing SYSIBMADM.HADR_HEALTH view. HADR state unknown.,NO_DRIFT,None,None,NO
2026-08-08 07:28:04,"appa_primary, appa_standby",HADR not configured or inactive on both nodes (VIEW_MISSING_OR_INACTIVE / UNCONFIGURED_OR_STOPPED),NO_DRIFT,None,None,NO
2026-08-08 07:32:47,"appa_primary, appa_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,NO_DRIFT,None,None,NO
2026-08-08 07:51:29,"appa_primary, appa_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,NO_DRIFT,None,None,NO
2026-08-08 08:00:49,"appa_primary, appa_standby",HADR state is REMOTE_CATCHUP_PENDING on both nodes; HADR_CONNECT_STATUS is CONNECTED.,NO_DRIFT,High,None,NO
2026-08-08 08:33:14,"appb_primary, appb_standby",HADR state is PEER and CONNECTED on both primary and standby.,NO_DRIFT,None,None,NO
2026-08-08 08:33:23,"appa_primary, appa_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,NO_DRIFT,None,None,NO
2026-08-08 08:33:31,"appa_primary, appa_standby, appb_primary, appb_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,NO_DRIFT,None,None,NO
2026-08-09 17:10:42,"appa_primary, appa_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,NO_DRIFT,None,None,NO
2026-08-09 17:17:31,"appa_primary, appa_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,NO_DRIFT,None,None,NO
2026-08-09 17:25:57,"appa_primary, appa_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,NO_DRIFT,None,None,NO
2026-08-09 17:29:35,"appa_primary, appa_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,NO_DRIFT,None,None,NO
2026-08-09 17:36:22,"appa_primary, appa_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,NO_DRIFT,None,None,NO
2026-08-09 17:40:14,"appa_primary, appa_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,NO_DRIFT,None,None,NO
2026-08-09 18:18:48,"appa_primary, appa_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,NO_DRIFT,None,None,NO
2026-08-09 18:23:55,"appa_primary, appa_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,NO_DRIFT,None,None,NO
2026-08-09 18:29:07,"appa_primary, appa_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,NO_DRIFT,None,None,NO
2026-08-09 18:29:59,"appb_primary, appb_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,NO_DRIFT,None,None,NO
2026-08-09 18:31:43,"appb_primary, appb_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,NO_DRIFT,None,None,NO
2026-08-09 18:33:12,"appb_primary, appb_standby",PEER / CONNECTED,DRIFT,Low,db_cfg.logprimary,YES
2026-08-09 18:34:10,"appb_primary, appb_standby",HADR state is PEER and CONNECTED on both primary and standby.,DRIFT,Medium,db_cfg.LOGPRIMARY,YES
2026-08-09 18:39:49,"appb_primary, appb_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,DRIFT,Low,db_cfg.LOGPRIMARY,YES
2026-08-10 18:00:10,"appa_primary, appa_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,NO_DRIFT,None,None,NO
2026-08-10 18:02:47,"appa_primary, appa_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,NO_DRIFT,None,None,NO
2026-08-10 18:05:53,"appb_primary, appb_standby",HADR state is PEER and CONNECTED on both primary and standby.,DRIFT,Medium,db_cfg.logprimary,YES
2026-08-10 18:08:54,"appa_primary, appa_standby, appb_primary, appb_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,NO_DRIFT,None,None,NO
2026-08-10 18:11:56,"appa_primary, appa_standby, appb_primary, appb_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,NO_DRIFT,None,None,NO
2026-08-10 18:14:58,"appa_primary, appa_standby, appb_primary, appb_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,NO_DRIFT,None,None,NO
2026-08-10 18:18:18,"appb_primary, appb_standby",HADR state is PEER and CONNECTED on both primary and standby.,DRIFT,Low,db_cfg.LOGPRIMARY,YES
2026-08-10 18:27:02,"appb_primary, appb_standby",HADR state is PEER and CONNECTED on both primary and standby.,DRIFT,Medium,db_cfg.LOGPRIMARY,YES
2026-08-10 18:27:07,"appa_primary, appa_standby, appb_primary, appb_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,NO_DRIFT,None,None,NO
2026-08-10 19:21:37,"appa_primary, appa_standby, appb_primary, appb_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,NO_DRIFT,None,None,NO
2026-08-10 19:21:42,"appa_primary, appa_standby, appb_primary, appb_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,NO_DRIFT,None,None,NO
2026-08-10 19:31:21,"appb_primary, appb_standby",HADR state is PEER and CONNECTED on both primary and standby.,DRIFT,Medium,db_cfg.LOGPRIMARY,YES
2026-08-10 19:37:20,"appb_primary, appb_standby",HADR state is PEER and CONNECTED on both primary and standby.,DRIFT,Low,db_cfg.LOGPRIMARY,YES
2026-08-10 19:40:16,"appa_primary, appa_standby, appb_primary, appb_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,NO_DRIFT,None,None,NO
2026-08-10 19:51:10,"appb_primary, appb_standby",PEER / CONNECTED,DRIFT,Medium,db_cfg.logprimary,YES
2026-08-10 19:51:16,"appa_primary, appa_standby, appb_primary, appb_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,NO_DRIFT,None,None,NO
2026-08-10 19:54:11,"appb_primary, appb_standby",PEER / CONNECTED,DRIFT,Medium,db_cfg.logprimary,YES
2026-08-10 19:57:11,"appb_primary, appb_standby",HADR state is PEER and CONNECTED on both primary and standby.,DRIFT,Medium,db_cfg.LOGPRIMARY,YES
2026-08-10 20:00:10,"appa_primary, appa_standby, appb_primary, appb_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,NO_DRIFT,None,None,NO
2026-08-10 20:03:10,"appa_primary, appa_standby, appb_primary, appb_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,NO_DRIFT,None,None,NO
2026-08-10 20:06:55,"appa_primary, appa_standby, appb_primary, appb_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,NO_DRIFT,None,None,NO
2026-08-10 20:09:41,"appa_primary, appa_standby, appb_primary, appb_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,NO_DRIFT,None,None,NO
2026-08-10 20:15:19,"appb_primary, appb_standby",PEER / CONNECTED,DRIFT,Low,db_cfg.logprimary,YES
2026-08-10 20:17:35,"appb_primary, appb_standby",HADR state is PEER and CONNECTED on both primary and standby.,DRIFT,Medium,db_cfg.LOGPRIMARY,YES
2026-08-10 20:25:28,"appb_primary, appb_standby",HADR state is PEER and CONNECTED on both primary and standby.,DRIFT,Low,db_cfg.LOGPRIMARY,YES
2026-08-10 20:25:32,"appa_primary, appa_standby, appb_primary, appb_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,NO_DRIFT,None,None,NO
2026-08-10 20:28:24,"appb_primary, appb_standby",HADR state is PEER and CONNECTED on both primary and standby.,DRIFT,Medium,db_cfg.LOGPRIMARY,YES
2026-08-10 20:28:31,"appa_primary, appa_standby, appb_primary, appb_standby",HADR state is PEER and CONNECTED on both primary and standby nodes.,NO_DRIFT,None,None,NO
